Chemblid	Drug	canonical	formula	max_phase	synonyms
CHEMBL1201179	LAPATINIB DITOSYLATE	CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1.Cc1ccc(S(=O)(=O)O)cc1.Cc1ccc(S(=O)(=O)O)cc1.O	C43H44ClFN4O11S3	4.0	GW572016F;;;GW-572016F;;;Lapatinib;;;Lapatinib ditoluenesulfonate monohydrate;;;Lapatinib ditosylate;;;Lapatinib ditosylate;;;Lapatinib ditosylate;;;Lapatinib ditosylate monohydrate;;;Lapatinib tosilate hydrate;;;Tykerb
CHEMBL1201180	DICLOFENAC EPOLAMINE	O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl.OCCN1CCCC1	C20H24Cl2N2O3	4.0	Diclofenac epolamine;;;Diclofenac epolamine;;;Flector;;;Flector Patch;;;Licart
CHEMBL1201182	TEMSIROLIMUS	CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](OC(=O)C(C)(CO)CO)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C	C56H87NO16	4.0	CCI-779;;;Temsirolimus;;;Temsirolimus;;;Temsirolimus;;;Temsirolimus;;;Temsirolimus;;;Temsirolimus;;;Temsirolimus;;;Temsirolimus;;;Torisel
CHEMBL1201184	LANREOTIDE ACETATE	CC(=O)O.CC(C)[C@@H]1NC(=O)[C@H](CCCCN)NC(=O)[C@@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@@H](NC(=O)[C@H](N)Cc2ccc3ccccc3c2)CSSC[C@@H](C(=O)N[C@H](C(N)=O)[C@@H](C)O)NC1=O	C56H73N11O12S2	4.0	BIM-23014C;;;Lanreotide acetate;;;Lanreotide acetate;;;Lanreotide acetate;;;Lanreotide acetate;;;Lanreotide acetate;;;Somatuline depot
CHEMBL1201185	LANREOTIDE	CC(C)[C@@H]1NC(=O)[C@H](CCCCN)NC(=O)[C@@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@@H](NC(=O)[C@H](N)Cc2ccc3ccccc3c2)CSSC[C@@H](C(=O)N[C@H](C(N)=O)[C@@H](C)O)NC1=O	C54H69N11O10S2	4.0	Lanreotide;;;Lanreotide;;;Lanreotide;;;Lanreotide;;;Lanreotide;;;Lanreotide;;;Somatuline autogel;;;Somatuline la
CHEMBL1201186	BISMUTH SUBCITRATE POTASSIUM	-	-	4.0	1001277;;;Bismuth subcitrate;;;Bismuth subcitrate potassium;;;Bismuth subcitrate potassium;;;Bismuth subcitrate potassium
CHEMBL1201187	MARAVIROC	Cc1nnc(C(C)C)n1[C@H]1C[C@@H]2CC[C@H](C1)N2CC[C@H](NC(=O)C1CCC(F)(F)CC1)c1ccccc1	C29H41F2N5O	4.0	Celsentri;;;Maraviroc;;;Maraviroc;;;Maraviroc;;;Maraviroc;;;Maraviroc;;;Maraviroc;;;Maraviroc;;;Maraviroc;;;Rel-Maraviroc;;;Selzentry;;;UK-427857
CHEMBL1201189	AMMONIA N 13	[13NH3]	H3N	4.0	13n;;;Ammonia (13N);;;Ammonia n 13;;;Ammonia n 13;;;Ammonia n 13;;;Ammonia n 13;;;Ammonia n-13
CHEMBL1201190	LEVOCETIRIZINE DIHYDROCHLORIDE	Cl.Cl.O=C(O)COCCN1CCN([C@H](c2ccccc2)c2ccc(Cl)cc2)CC1	C21H27Cl3N2O3	4.0	Cetirizine (r)-form dihydrochloride;;;Levocetirizine dihydrochloride;;;Levocetirizine dihydrochloride;;;Levocetirizine dihydrochloride;;;Levocetirizine dihydrochloride;;;Levocetirizine dihydrochloride;;;Levocetirizine hydrochloride;;;UCB 28556;;;UCB-28556;;;Xusal;;;Xyzal;;;Xyzal allergy 24hr;;;Xyzall
CHEMBL1201191	LEVOCETIRIZINE	O=C(O)COCCN1CCN([C@H](c2ccccc2)c2ccc(Cl)cc2)CC1	C21H25ClN2O3	4.0	Cetirizine (r)-form;;;Levocetirizine;;;Levocetirizine;;;Levocetirizine;;;Levocetirizine;;;Levocetirizine;;;Levocetirizine;;;Xyzal
CHEMBL1201192	ARMODAFINIL	NC(=O)C[S@@+]([O-])C(c1ccccc1)c1ccccc1	C15H15NO2S	4.0	Armodafinil;;;Armodafinil;;;Armodafinil;;;Armodafinil;;;Armodafinil;;;Armodafinil;;;CEP-10952;;;CEP-10953;;;CRL-40982;;;Nuvigil
CHEMBL1201193	LEVOBUPIVACAINE	CCCCN1CCCC[C@H]1C(=O)Nc1c(C)cccc1C	C18H28N2O	4.0	Bupivacaine (-)-form;;;Levobupivacaine;;;Levobupivacaine;;;Levobupivacaine;;;Levobupivacaine
CHEMBL1201195	CEFMETAZOLE	CO[C@@]1(NC(=O)CSCC#N)C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CS[C@@H]21	C15H17N7O5S3	4.0	Cefmetazole;;;Cefmetazole;;;Cefmetazole;;;Cefmetazole;;;U-72791
CHEMBL1201196	SERTACONAZOLE	Clc1ccc(C(Cn2ccnc2)OCc2csc3c(Cl)cccc23)c(Cl)c1	C20H15Cl3N2OS	4.0	Demofix;;;Ertaczo;;;FI-7045;;;Sertaconazole;;;Sertaconazole;;;Sertaconazole;;;Sertaconazole;;;Sertaconazole
CHEMBL1201197	ALATROFLOXACIN	C[C@H](N)C(=O)N[C@@H](C)C(=O)N[C@H]1[C@@H]2CN(c3nc4c(cc3F)c(=O)c(C(=O)O)cn4-c3ccc(F)cc3F)C[C@@H]21	C26H25F3N6O5	4.0	Alatrofloxacin;;;Alatrofloxacin
CHEMBL1201198	PEMIROLAST	Cc1cccn2c(=O)c(-c3nnn[nH]3)cnc12	C10H8N6O	4.0	Pemirolast;;;Pemirolast;;;Pemirolast
CHEMBL1201199	LEUPROLIDE	CCNC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CO)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@@H]1CCC(=O)N1	C59H84N16O12	4.0	ABBOTT-43818 FREE BASE;;;CKD-841;;;Leuprolide;;;Leuprolide;;;Leuprorelin;;;Leuprorelin;;;Leuprorelin;;;Leuprorelin;;;NSC-377526;;;TAP-144 FREE BASE
CHEMBL1201201	METHAMPHETAMINE	CN[C@@H](C)Cc1ccccc1	C10H15N	4.0	J6.362B;;;Metamfetamine;;;Metamfetamine;;;Metamfetamine;;;Methamphetamine;;;Methamphetamine;;;NSC-25115
CHEMBL1201202	FONDAPARINUX	CO[C@H]1O[C@H](COS(=O)(=O)O)[C@@H](O[C@@H]2O[C@@H](C(=O)O)[C@@H](O[C@H]3O[C@H](COS(=O)(=O)O)[C@@H](O[C@@H]4O[C@H](C(=O)O)[C@@H](O[C@H]5O[C@H](COS(=O)(=O)O)[C@@H](O)[C@H](O)[C@H]5NS(=O)(=O)O)[C@H](O)[C@H]4O)[C@H](OS(=O)(=O)O)[C@H]3NS(=O)(=O)O)[C@H](O)[C@H]2OS(=O)(=O)O)[C@H](O)[C@H]1NS(=O)(=O)O	C31H53N3O49S8	4.0	Fondaparinux;;;Fondaparinux;;;Fondaparinux
CHEMBL1201203	BENZTROPINE	CN1[C@H]2CC[C@@H]1C[C@H](OC(c1ccccc1)c1ccccc1)C2	C21H25NO	4.0	Benzatropine;;;Benzatropine;;;Benzatropine;;;Benzatropine;;;Benztropine;;;Benztropine;;;Benztropine;;;NK-02
CHEMBL1201204	CEFPIRAMIDE	Cc1cc(O)c(C(=O)N[C@@H](C(=O)N[C@@H]2C(=O)N3C(C(=O)O)=C(CSc4nnnn4C)CS[C@H]23)c2ccc(O)cc2)cn1	C25H24N8O7S2	4.0	Cefpiramide;;;Cefpiramide;;;Cefpiramide;;;Cefpiramide;;;WY-44635;;;WY-44,635
CHEMBL1201206	PIPECURONIUM	CC(=O)O[C@H]1C[C@@H]2CC[C@@H]3[C@H](CC[C@@]4(C)[C@H]3C[C@H](N3CC[N+](C)(C)CC3)[C@@H]4OC(C)=O)[C@@]2(C)C[C@@H]1N1CC[N+](C)(C)CC1	C35H62N4O4+2	4.0	Pipecuronium
CHEMBL1201207	BETAMETHASONE PHOSPHORIC ACID	C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)COP(=O)(O)O	C22H30FO8P	4.0	Betamethasone phosphate;;;Betamethasone phosphoric acid
CHEMBL1201208	PHENMETRAZINE	CC1NCCOC1c1ccccc1	C11H15NO	4.0	Phenmetrazine;;;Phenmetrazine;;;Phenmetrazine;;;Preludin
CHEMBL1201210	PROPIOMAZINE	CCC(=O)c1ccc2c(c1)N(CC(C)N(C)C)c1ccccc1S2	C20H24N2OS	4.0	CB 1678;;;CB-1678;;;Dorevan;;;Dorevane;;;Indorm;;;Largon;;;Propavan;;;Propiomazine;;;Propiomazine;;;Propiomazine;;;Propiomazine;;;WY-1359
CHEMBL1201212	MIDODRINE	COc1ccc(OC)c(C(O)CNC(=O)CN)c1	C12H18N2O4	4.0	Midodrine;;;Midodrine;;;Midodrine;;;Midodrine;;;Midodrine;;;ST 1085;;;ST-1085
CHEMBL1201213	ISOETHARINE	CCC(NC(C)C)C(O)c1ccc(O)c(O)c1	C13H21NO3	4.0	Etyprenaline;;;Isoetarine;;;Isoetarine;;;Isoetarine;;;Isoetharine;;;Isoetharine;;;Isoetharine;;;WIN 3406;;;WIN-3406
CHEMBL1201216	DAPIPRAZOLE	Cc1ccccc1N1CCN(CCc2nnc3n2CCCC3)CC1	C19H27N5	4.0	Dapiprazole;;;Dapiprazole;;;Dapiprazole
CHEMBL1201217	DYCLONINE	CCCCOc1ccc(C(=O)CCN2CCCCC2)cc1	C18H27NO2	4.0	Dyclonine;;;Dyclonine;;;Dyclonine;;;Dyclonine;;;Dyclonine
CHEMBL1201218	CEFAMANDOLE NAFATE	Cn1nnnc1SCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](OC=O)c3ccccc3)[C@H]2SC1	C19H18N6O6S2	4.0	106223;;;Cefamandole nafate;;;Mandol
CHEMBL1201219	VECURONIUM	CC(=O)O[C@H]1C[C@@H]2CC[C@@H]3[C@H](CC[C@@]4(C)[C@H]3C[C@H]([N+]3(C)CCCCC3)[C@@H]4OC(C)=O)[C@@]2(C)C[C@@H]1N1CCCCC1	C34H57N2O4+	4.0	Vecuronium;;;Vecuronium;;;Vecuronium
CHEMBL1201220	DIATRIZOIC ACID	CC(=O)Nc1c(I)c(NC(C)=O)c(I)c(C(=O)O)c1I	C11H9I3N2O4	4.0	Amidotrizoic acid;;;Amidotrizoic acid;;;Amidotrizoic acid;;;Diatrizoic acid;;;Diatrizoic acid;;;Diatrizoic acid;;;Diatrizoic acid;;;Diatrizoic acid;;;NSC-262168
CHEMBL1201222	LISDEXAMFETAMINE	C[C@@H](Cc1ccccc1)NC(=O)[C@@H](N)CCCCN	C15H25N3O	4.0	Lisdexamfetamine;;;Lisdexamfetamine;;;Lisdexamfetamine;;;Lisdexamfetamine
CHEMBL1201224	CEFMENOXIME	CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CS[C@H]12)c1csc(N)n1	C16H17N9O5S3	4.0	Cefmenoxime;;;Cefmenoxime;;;Cefmenoxime
CHEMBL1201225	IODINE	II	I2	4.0	Iodine;;;Iodine;;;Iodine;;;Iodine;;;Iodine;;;Iodine;;;NSC-42355
CHEMBL1201227	CYCRIMINE	OC(CCN1CCCCC1)(c1ccccc1)C1CCCC1	C19H29NO	4.0	Cycrimine;;;Cycrimine;;;Cycrimine
CHEMBL1201229	DEMECARIUM	CN(CCCCCCCCCCN(C)C(=O)Oc1cccc([N+](C)(C)C)c1)C(=O)Oc1cccc([N+](C)(C)C)c1	C32H52N4O4+2	4.0	Demecarium;;;Demecarium
CHEMBL1201231	PREDNISOLONE PHOSPHORIC ACID	C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)COP(=O)(O)O	C21H29O8P	4.0	Prednisolone phosphate;;;Prednisolone phosphoric acid
CHEMBL1201232	ISOPROPAMIDE	CC(C)[N+](C)(CCC(C(N)=O)(c1ccccc1)c1ccccc1)C(C)C	C23H33N2O+	4.0	Isopropamide;;;Isopropamide
CHEMBL1201233	METHYLDOPATE	CCOC(=O)[C@@](C)(N)Cc1ccc(O)c(O)c1	C12H17NO4	4.0	Methyldopate;;;Methyldopate
CHEMBL1201234	MEPHENTERMINE	CNC(C)(C)Cc1ccccc1	C11H17N	4.0	Mephentermine;;;Mephentermine;;;Mephentermine;;;Mephentermine
CHEMBL1201235	METHYLHOMATROPINE	C[N+]1(C)[C@H]2CC[C@@H]1C[C@H](OC(=O)C(O)c1ccccc1)C2	C17H24NO3+	4.0	
CHEMBL1201236	CARBIDOPA	C[C@@](Cc1ccc(O)c(O)c1)(NN)C(=O)O	C10H14N2O4	4.0	Carbidopa;;;Carbidopa;;;Carbidopa;;;Carbidopa;;;Carbidopa;;;Lodosyn
CHEMBL1201237	LEVOBUNOLOL	CC(C)(C)NC[C@H](O)COc1cccc2c1CCCC2=O	C17H25NO3	4.0	Levobunolol;;;Levobunolol;;;Levobunolol;;;Levobunolol
CHEMBL1201239	IODAMIDE	CC(=O)NCc1c(I)c(NC(C)=O)c(I)c(C(=O)O)c1I	C12H11I3N2O4	4.0	B-4130;;;Iodamide;;;Iodamide;;;Iodamide;;;Iodamide;;;Iodamide;;;Jodomiron;;;SH 926;;;SH-926;;;Uromiro;;;Uromiron
CHEMBL1201242	INDECAINIDE	CC(C)NCCCC1(C(N)=O)c2ccccc2-c2ccccc21	C20H24N2O	4.0	Indecainide;;;Indecainide
CHEMBL1201243	IPODATE	CN(C)/C=N/c1c(I)cc(I)c(CCC(=O)O)c1I	C12H13I3N2O2	4.0	Ipodate
CHEMBL1201244	ROCURONIUM	C=CC[N+]1([C@H]2C[C@H]3[C@@H]4CC[C@H]5C[C@H](O)[C@@H](N6CCOCC6)C[C@]5(C)[C@H]4CC[C@]3(C)[C@H]2OC(C)=O)CCCC1	C32H53N2O4+	4.0	Rocuronium;;;Rocuronium
CHEMBL1201245	BROMODIPHENHYDRAMINE	CN(C)CCOC(c1ccccc1)c1ccc(Br)cc1	C17H20BrNO	4.0	Bromazine;;;Bromazine;;;Bromazine;;;Bromodiphenhydramine
CHEMBL1201247	GOSERELIN	CC(C)C[C@H](NC(=O)[C@@H](COC(C)(C)C)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CO)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](Cc1cnc[nH]1)NC(=O)[C@@H]1CCC(=O)N1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N1CCC[C@H]1C(=O)NNC(N)=O	C59H84N18O14	4.0	Goserelin;;;Goserelin;;;Goserelin;;;Goserelin;;;Goserelin;;;Goserelin;;;Goserelin acetate;;;ICI 118,630;;;ICI-118630;;;Zoladex
CHEMBL1201248	CISATRACURIUM	COc1ccc(C[C@@H]2c3cc(OC)c(OC)cc3CC[N@+]2(C)CCC(=O)OCCCCCOC(=O)CC[N@@+]2(C)CCc3cc(OC)c(OC)cc3[C@H]2Cc2ccc(OC)c(OC)c2)cc1OC	C53H72N2O12+2	4.0	Cisatracurium;;;Cisatracurium;;;Cisatracurium;;;Cisatracurium;;;Nimbex
CHEMBL1201250	BENZQUINAMIDE	CCN(CC)C(=O)C1CN2CCc3cc(OC)c(OC)cc3C2CC1OC(C)=O	C22H32N2O5	4.0	Benzchinamide;;;Benzquinamide;;;Benzquinamide;;;Benzquinamide;;;Emete-con;;;P-2647;;;Quantril
CHEMBL1201251	ARBUTAMINE	Oc1ccc(CCCCNC[C@H](O)c2ccc(O)c(O)c2)cc1	C18H23NO4	4.0	Arbutamine;;;Arbutamine;;;Arbutamine
CHEMBL1201255	HISTRELIN	CCNC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](Cc1cn(Cc2ccccc2)cn1)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CO)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](Cc1cnc[nH]1)NC(=O)[C@@H]1CCC(=O)N1	C66H86N18O12	4.0	Histrelin;;;Histrelin;;;Histrelin;;;Histrelin;;;Histrelin;;;ORF 17070;;;ORF-17070;;;ORF 17070RWJ 17070;;;RWJ 17070;;;RWJ-17070;;;Supprelin
CHEMBL1201256	TRIMETHOBENZAMIDE	COc1cc(C(=O)NCc2ccc(OCCN(C)C)cc2)cc(OC)c1OC	C21H28N2O5	4.0	Trimethobenzamide;;;Trimethobenzamide;;;Trimethobenzamide;;;Trimethobenzamide
CHEMBL1201260	BETHANIDINE	C/N=C(\NC)NCc1ccccc1	C10H15N3	4.0	Betanidine;;;Betanidine;;;Betanidine;;;Bethanidine
CHEMBL1201261	TYROPANOIC ACID	CCCC(=O)Nc1c(I)cc(I)c(CC(CC)C(=O)O)c1I	C15H18I3NO3	4.0	Tyropanoate;;;Tyropanoic Acid;;;Tyropanoic acid
CHEMBL1201262	DIPIVEFRIN	CNCC(O)c1ccc(OC(=O)C(C)(C)C)c(OC(=O)C(C)(C)C)c1	C19H29NO5	4.0	Dipivalyl epinephrine;;;Dipivefrin;;;Dipivefrin;;;Dipivefrine;;;Dipivefrine;;;Dipivefrine;;;DPE
CHEMBL1201263	HYDROCORTAMATE	CCN(CC)CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C	C27H41NO6	4.0	Hydrocortamate;;;Hydrocortamate
CHEMBL1201264	METHANTHELINE	CC[N+](C)(CC)CCOC(=O)C1c2ccccc2Oc2ccccc21	C21H26NO3+	4.0	Methantheline;;;Methantheline;;;Methantheline;;;Methanthelinium
CHEMBL1201265	METHYLPREDNISOLONE HEMISUCCINATE	C[C@H]1C[C@H]2[C@@H]3CC[C@](O)(C(=O)COC(=O)CCC(=O)O)[C@@]3(C)C[C@H](O)[C@@H]2[C@@]2(C)C=CC(=O)C=C12	C26H34O8	4.0	Methylprednisolone hemisuccinate;;;Methylprednisolone hemisuccinate;;;Methylprednisolone succinate;;;Methylprednisolone succinate
CHEMBL1201266	LODOXAMIDE	N#Cc1cc(NC(=O)C(=O)O)c(Cl)c(NC(=O)C(=O)O)c1	C11H6ClN3O6	4.0	Lodoxamide;;;Lodoxamide;;;Lodoxamide
CHEMBL1201269	CHLORPHENTERMINE	CC(C)(N)Cc1ccc(Cl)cc1	C10H14ClN	4.0	Chlorphentermine;;;Chlorphentermine;;;Chlorphentermine
CHEMBL1201270	METHENAMINE	C1N2CN3CN1CN(C2)C3	C6H12N4	4.0	E239;;;E-239;;;Hexamethylenamine;;;Hexamethylenetetramine;;;Hexamine;;;INS-239;;;INS NO.239;;;Methenamine;;;Methenamine;;;Methenamine;;;Methenamine;;;Methenamine;;;NSC-26346;;;NSC-403347;;;Uritone;;;Urotropin
CHEMBL1201271	BUCLIZINE	CC(C)(C)c1ccc(CN2CCN(C(c3ccccc3)c3ccc(Cl)cc3)CC2)cc1	C28H33ClN2	4.0	Buclizine;;;Buclizine;;;Buclizine;;;Buclizine
CHEMBL1201273	PROTOKYLOL	CC(Cc1ccc2c(c1)OCO2)NCC(O)c1ccc(O)c(O)c1	C18H21NO5	4.0	Asmeti;;;Caytine;;;Palisan;;;Protokylol;;;Protokylol;;;Protokylol;;;Ventaire
CHEMBL1201274	LEVOBETAXOLOL	CC(C)NC[C@H](O)COc1ccc(CCOCC2CC2)cc1	C18H29NO3	4.0	Levobetaxolol;;;Levobetaxolol
CHEMBL1201275	ISOSULFAN BLUE	CCN(CC)c1ccc(C(=C2C=CC(=[N+](CC)CC)C=C2)c2cc(S(=O)(=O)[O-])ccc2S(=O)(=O)O)cc1	C27H32N2O6S2	4.0	
CHEMBL1201281	CHLORAMPHENICOL SUCCINIC ACID	O=C(O)CCC(=O)OC[C@@H](NC(=O)C(Cl)Cl)[C@H](O)c1ccc([N+](=O)[O-])cc1	C15H16Cl2N2O8	4.0	Chloramphenicol succinate
CHEMBL1201284	CINACALCET	C[C@@H](NCCCc1cccc(C(F)(F)F)c1)c1cccc2ccccc12	C22H22F3N	4.0	AMG073;;;AMG 073;;;AMG-073;;;Cinacalcet;;;Cinacalcet;;;Cinacalcet;;;Cinacalcet;;;Cinacalcet;;;Cinacalcet;;;KRN1493;;;KRN-1493;;;Sensipar
CHEMBL1201286	OXYPHENONIUM	CC[N+](C)(CC)CCOC(=O)C(O)(c1ccccc1)C1CCCCC1	C21H34NO3+	4.0	Oxyphenonium;;;Oxyphenonium
CHEMBL1201287	DEXBROMPHENIRAMINE	CN(C)CC[C@@H](c1ccc(Br)cc1)c1ccccn1	C16H19BrN2	4.0	Dexbrompheniramine;;;Dexbrompheniramine;;;Dexbrompheniramine;;;Dexbrompheniramine
CHEMBL1201288	DANTROLENE	O=C1CN(/N=C/c2ccc(-c3ccc([N+](=O)[O-])cc3)o2)C(=O)N1	C14H10N4O5	4.0	Dantrolene;;;Dantrolene;;;Dantrolene;;;Dantrolene;;;Dantrolene;;;Dantrolene;;;Dantrolene;;;F-368
CHEMBL1201289	CLINDAMYCIN PALMITATE	CCCCCCCCCCCCCCCC(=O)O[C@@H]1[C@@H](O)[C@@H](O)[C@@H]([C@H](NC(=O)[C@@H]2C[C@@H](CCC)CN2C)[C@H](C)Cl)O[C@@H]1SC	C34H63ClN2O6S	4.0	Clindamycin palmitate
CHEMBL1201291	IOXAGLIC ACID	CNC(=O)c1c(I)c(C(=O)NCC(=O)Nc2c(I)c(C(=O)O)c(I)c(C(=O)NCCO)c2I)c(I)c(N(C)C(C)=O)c1I	C24H21I6N5O8	4.0	Ioxaglate;;;Ioxaglic acid;;;Ioxaglic acid;;;Ioxaglic acid;;;Ioxaglic acid;;;Ioxaglic acid;;;Ioxaglic acid;;;Ioxaglic acid;;;Ioxaglic acid;;;P-286
CHEMBL1201293	ACAMPROSATE	CC(=O)NCCCS(=O)(=O)O	C5H11NO4S	4.0	Acamprosate;;;Acamprosate;;;Acamprosate;;;Acamprosate
CHEMBL1201294	DIPHENOXYLATE	CCOC(=O)C1(c2ccccc2)CCN(CCC(C#N)(c2ccccc2)c2ccccc2)CC1	C30H32N2O2	4.0	Diphenoxylate;;;Diphenoxylate;;;Diphenoxylate;;;Diphenoxylate
CHEMBL1201295	BITOLTEROL	Cc1ccc(C(=O)Oc2ccc(C(O)CNC(C)(C)C)cc2OC(=O)c2ccc(C)cc2)cc1	C28H31NO5	4.0	Bitolterol;;;Bitolterol;;;Bitolterol;;;Bitolterol
CHEMBL1201300	IOTHALAMIC ACID	CNC(=O)c1c(I)c(NC(C)=O)c(I)c(C(=O)O)c1I	C11H9I3N2O4	4.0	Iotalamic acid;;;Iotalamic acid;;;Iotalamic acid;;;Iotalamic acid;;;Iotalamic acid;;;Iothalamic acid;;;Iothalamic acid;;;Iothalamic acid;;;MI-216
CHEMBL1201301	MANGAFODIPIR	-	-	4.0	Mangafodipir;;;Mangafodipir;;;Mangafodipir;;;Mangafodipir;;;Mangafodipir
CHEMBL1201302	DEXAMETHASONE PHOSPHORIC ACID	C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)COP(=O)(O)O	C22H30FO8P	4.0	Dexamethasone phosphate;;;Dexamethasone phosphoric acid
CHEMBL1201303	PYRVINIUM	Cc1cc(/C=C/c2ccc3cc(N(C)C)ccc3[n+]2C)c(C)n1-c1ccccc1	C26H28N3+	4.0	Pyrvinium;;;Pyrvinium
CHEMBL1201304	INDOCYANINE GREEN	CC1(C)C(/C=C/C=C/C=C/C=C2\N(CCCCS(=O)(=O)O)c3ccc4ccccc4c3C2(C)C)=[N+](CCCCS(=O)(=O)[O-])c2ccc3ccccc3c21	C43H48N2O6S2	4.0	Ic-green;;;Indocyanine Green;;;Indocyanine green
CHEMBL1201308	IOFETAMINE	CC(C)NC(C)Cc1ccc(I)cc1	C12H18IN	4.0	Iofetamine
CHEMBL1201309	NAFARELIN	CC(C)C[C@H](NC(=O)[C@@H](Cc1cccc2ccccc12)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CO)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](Cc1cnc[nH]1)NC(=O)[C@@H]1CCC(=O)N1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N1CCC[C@H]1C(=O)NCC(N)=O	C66H83N17O13	4.0	Nafarelin;;;Nafarelin;;;Nafarelin;;;Nafarelin;;;Nafarelin
CHEMBL1201313	CHLOPHEDIANOL	CN(C)CCC(O)(c1ccccc1)c1ccccc1Cl	C17H20ClNO	4.0	Chlophedianol;;;Clofedanol;;;Clofedanol;;;Clofedanol
CHEMBL1201314	VALGANCICLOVIR	CC(C)[C@H](N)C(=O)OCC(CO)OCn1cnc2c(=O)[nH]c(N)nc21	C14H22N6O5	4.0	Valganciclovir;;;Valganciclovir;;;Valganciclovir;;;Valganciclovir;;;Valganciclovir
CHEMBL1201317	TRICLOFOS	O=P(O)(O)OCC(Cl)(Cl)Cl	C2H4Cl3O4P	4.0	Triclofos;;;Triclofos;;;Triclofos;;;Triclofos;;;Triclofos;;;Triclofos
CHEMBL1201319	METARAMINOL	C[C@H](N)[C@H](O)c1cccc(O)c1	C9H13NO2	4.0	Metaraminol;;;Metaraminol;;;Metaraminol;;;Metaraminol;;;Metaraminol;;;Metaraminol
CHEMBL1201320	ESOMEPRAZOLE	COc1ccc2[nH]c([S@@+]([O-])Cc3ncc(C)c(OC)c3C)nc2c1	C17H19N3O3S	4.0	A02BC05;;;Emozul;;;Esomeprazole;;;Esomeprazole;;;Esomeprazole;;;Esomeprazole;;;Esomeprazole;;;Nexium;;;Nexium control;;;Nexium i.v.;;;Omeprazole s-form;;;Ventra
CHEMBL1201321	DIFENOXIN	N#CC(CCN1CCC(C(=O)O)(c2ccccc2)CC1)(c1ccccc1)c1ccccc1	C28H28N2O2	4.0	Difenoxin;;;Difenoxin;;;Difenoxin;;;Difenoxin;;;MCN-JR-15,403-11;;;R-15403;;;R 15,403 [AS HYDROCHLORIDE]
CHEMBL1201322	THONZONIUM	CCCCCCCCCCCCCCCC[N+](C)(C)CCN(Cc1ccc(OC)cc1)c1ncccn1	C32H55N4O+	4.0	
CHEMBL1201323	BETAZOLE	NCCc1cc[nH]n1	C5H9N3	4.0	Betazole;;;Betazole;;;Betazole
CHEMBL1201325	HEXOCYCLIUM	C[N+]1(C)CCN(CC(O)(c2ccccc2)C2CCCCC2)CC1	C20H33N2O+	4.0	Hexocyclium;;;Hexocyclium
CHEMBL1201327	ACETRIZOIC ACID	CC(=O)Nc1c(I)cc(I)c(C(=O)O)c1I	C9H6I3NO3	4.0	Acetrizoate;;;Acetrizoic Acid;;;Acetrizoic acid;;;Acetrizoic acid
